"size","decay","mean_pr_auc","mean_roc_auc","mean_brier"
3,1e-04,0.252093833827871,0.607841816161949,0.138820062932538
5,0.01,0.246363542254428,0.601630390059249,0.178475694110458
3,0.001,0.22699615078417,0.617793881665569,0.166394599295186
7,0.001,0.212715108121839,0.552863211816985,0.204631671893454
7,1e-04,0.210359606565033,0.564307829986833,0.17255157010171
3,0.01,0.205374139653894,0.56519297235023,0.165535962270492
5,1e-04,0.202085840675135,0.579948259545754,0.181330630140327
5,0.001,0.200226058024621,0.562846136438446,0.195132426803098
7,0.01,0.185847670583945,0.542211158657011,0.196592965533718
