"arm","model","internal_pr_auc","internal_roc_auc","external_pr_auc","external_roc_auc"
"ASA Original","ANN",0.24383605391786,0.641662009221741,0.165969313965918,0.526515151515151
"ASA Original","Elastic Net",0.210267440251065,0.519683526617298,0.129729443004536,0.5
"ASA Original","kNN",0.240288639771973,0.59635671370686,0.130064745196324,0.46969696969697
"ASA Original","Random Forest",0.267343878763374,0.614398490987844,0.188820703720085,0.520833333333333
"ASA Original","XGBoost",0.284098269259741,0.649399189604583,0.229624900820553,0.556818181818182
"ASA SMOTE","ANN",0.17848782299663,0.583310046108705,0.0948321931973371,0.297348484848485
"ASA SMOTE","Elastic Net",0.251403714452122,0.551522984490708,0.14466101848825,0.526515151515151
"ASA SMOTE","kNN",0.221874238558964,0.567486376973592,0.111973079830223,0.363636363636364
"ASA SMOTE","Random Forest",0.21193368698071,0.59660122956546,0.223332158797275,0.439393939393939
"ASA SMOTE","XGBoost",0.221394973212137,0.626903730613385,0.161640211640212,0.477272727272727
"ASA Weighted","ANN",0.269913460766737,0.608827022495459,0.295676007375655,0.554924242424242
"ASA Weighted","Elastic Net",0.276025820828263,0.584567556238647,0.156041546173125,0.545454545454545
"ASA Weighted","Random Forest",0.166590029587102,0.530285035629454,0.166081017205521,0.526515151515151
"ASA Weighted","XGBoost",0.277079920987497,0.649643705463183,0.236867842468747,0.568181818181818
