"model_name","dataset","top_k","proportion_flagged","n_flagged","events_captured","event_rate","recall","ppv","lift"
"stacked_logistic","internal_test_ensemble","top_5_pct",0.05,25,8,0.32,0.117647058823529,0.32,2.30117647058823
"stacked_logistic","internal_test_ensemble","top_10_pct",0.1,49,13,0.26530612244898,0.191176470588235,0.26530612244898,1.9078631452581
"stacked_logistic","internal_test_ensemble","top_20_pct",0.2,98,25,0.255102040816327,0.367647058823529,0.255102040816327,1.83448379351741
"soft_vote_equal","internal_test_ensemble","top_5_pct",0.05,25,6,0.24,0.0882352941176471,0.24,1.72588235294118
"soft_vote_equal","internal_test_ensemble","top_10_pct",0.1,49,10,0.204081632653061,0.147058823529412,0.204081632653061,1.46758703481393
"soft_vote_equal","internal_test_ensemble","top_20_pct",0.2,98,26,0.26530612244898,0.382352941176471,0.26530612244898,1.9078631452581
"soft_vote_pr_weighted","internal_test_ensemble","top_5_pct",0.05,25,7,0.28,0.102941176470588,0.28,2.01352941176471
"soft_vote_pr_weighted","internal_test_ensemble","top_10_pct",0.1,49,10,0.204081632653061,0.147058823529412,0.204081632653061,1.46758703481393
"soft_vote_pr_weighted","internal_test_ensemble","top_20_pct",0.2,98,27,0.275510204081633,0.397058823529412,0.275510204081633,1.9812424969988
