"feature","mean_abs_shap","mean_signed_shap"
"wbc",0.0379578474572737,-0.00391986502856729
"elective_surgery",0.0282749418677243,-0.0282749418677243
"diabetes",0.00515882249908712,0.00159868425037654
"age",0,0
"sex",0,0
"race",0,0
"admission_source",0,0
"functional_status",0,0
"smoking",0,0
"dyspnea",0,0
"copd",0,0
"heart_failure",0,0
"dialysis",0,0
"active_malignancy",0,0
"coagulopathy",0,0
"bmi",0,0
"sodium",0,0
"bun",0,0
"creatinine",0,0
"albumin",0,0
"bilirubin",0,0
"ast",0,0
"alk_phos",0,0
"platelets",0,0
"ptt",0,0
"inr",0,0
