"arm","model","internal_pr_auc","internal_roc_auc","external_pr_auc","external_roc_auc","external_top10_recall","external_top10_event_rate","external_top10_lift"
"Ensemble","Stacked Logistic Ensemble",0.258630482244232,0.624668157049043,0.220614878948212,0.526515151515151,0.166666666666667,0.2,1.66666666666667
"Ensemble","Soft-Vote Ensemble (PR-Weighted)",0.238737407229254,0.611743747380187,0.20209338432009,0.522727272727273,0.166666666666667,0.2,1.66666666666667
"Ensemble","Soft-Vote Ensemble (Equal)",0.234720184178698,0.605770574262959,0.201572198834402,0.515151515151515,0.166666666666667,0.2,1.66666666666667
"Original","XGBoost",0.259218187820081,0.625157188766243,0.190165426947825,0.503787878787879,0.166666666666667,0.2,1.66666666666667
"Original","Random Forest",0.253686526498957,0.58753667737879,0.15482383282133,0.460227272727273,0.166666666666667,0.2,1.66666666666667
"Original","ANN",0.186932765934223,0.576690652508034,0.144183612622151,0.458333333333333,0,0,0
"Original","kNN",0.207367795677974,0.588671929579433,0.142366332497911,0.479166666666667,0.166666666666667,0.2,1.66666666666667
"Original","Elastic Net",0.221700519981404,0.527036467793768,0.129729443004536,0.5,0,0,0
"SMOTE","Random Forest",0.170683432790759,0.564482324996507,0.26617087688734,0.40530303030303,0.166666666666667,0.2,1.66666666666667
"SMOTE","ANN",0.190630685463849,0.566700433142378,0.197141442568272,0.535984848484849,0.166666666666667,0.2,1.66666666666667
"SMOTE","Elastic Net",0.234293501383155,0.548641190442923,0.157165957823853,0.560606060606061,0.166666666666667,0.2,1.66666666666667
"SMOTE","XGBoost",0.201271479251652,0.60063574123236,0.154367870941219,0.477272727272727,0.166666666666667,0.2,1.66666666666667
"SMOTE","kNN",0.187766306201328,0.54100880257091,0.0988680077110928,0.352272727272727,0,0,0
"Weighted","XGBoost",0.240309760634405,0.617821713008244,0.266545150755677,0.446969696969697,0.166666666666667,0.2,1.66666666666667
"Weighted","ANN",0.177169655157866,0.562281682269107,0.202203025732438,0.535984848484849,0.166666666666667,0.2,1.66666666666667
"Weighted","Random Forest",0.157040067460711,0.504279027525499,0.131043615882326,0.450757575757576,0,0,0
"Weighted","Elastic Net",0.208240658045223,0.54762819617158,0.123409603556662,0.454545454545455,0.166666666666667,0.2,1.66666666666667
