"alpha","lambda","mean_pr_auc","mean_roc_auc","mean_brier"
0.5,0.1,0.256879797288534,0.586053221691903,0.127816174589924
1,0.1,0.232200050616003,0.557187602863726,0.134882029073466
0,1,0.216846256987628,0.605141129032258,0.12786184109646
0,0.1,0.213488523987316,0.599046453258723,0.172379792568503
1,0.01,0.211901757981423,0.609030920836076,0.182408350766699
0.5,0.01,0.20327994363262,0.58021827682686,0.198896167611719
0,0.001,0.202030710924974,0.576470951283739,0.222131775778652
1,0.001,0.199666665337095,0.574391046741277,0.222591314813798
0,0.01,0.199222749577255,0.57682788841343,0.215542509665735
0.5,0.001,0.195536455807339,0.570992429229756,0.224787599481834
0.5,1,0.145508434955627,0.5,0.137321276760181
1,1,0.145508434955627,0.5,0.137321276760181
