"model_name","dataset","rule_name","threshold_rule","flagged_fraction","f2_score","pr_auc","roc_auc","brier_score","calibration_intercept","calibration_slope","sensitivity","specificity","ppv","npv","threshold","n","events"
"stacked_logistic","external_validation_ensemble","max_f2",0.09,0.96,0.416666666666667,0.220614878948212,0.526515151515151,0.105048395826142,-0.620463064007512,0.700468237378192,1,0.0454545454545455,0.125,1,0.09,50,6
"stacked_logistic","external_validation_ensemble","target_sensitivity_0_30",0.17,0.14,0.32258064516129,0.220614878948212,0.526515151515151,0.105048395826142,-0.620463064007512,0.700468237378192,0.333333333333333,0.886363636363636,0.285714285714286,0.906976744186046,0.17,50,6
"stacked_logistic","external_validation_ensemble","target_sensitivity_0_50",0.14,0.22,0.285714285714286,0.220614878948212,0.526515151515151,0.105048395826142,-0.620463064007512,0.700468237378192,0.333333333333333,0.795454545454545,0.181818181818182,0.897435897435897,0.14,50,6
"stacked_logistic","external_validation_ensemble","top_10_pct",0.198360153050294,0.1,0.172413793103448,0.220614878948212,0.526515151515151,0.105048395826142,-0.620463064007512,0.700468237378192,0.166666666666667,0.909090909090909,0.2,0.888888888888889,0.198360153050294,50,6
"stacked_logistic","external_validation_ensemble","top_20_pct",0.168421564785837,0.14,0.32258064516129,0.220614878948212,0.526515151515151,0.105048395826142,-0.620463064007512,0.700468237378192,0.333333333333333,0.886363636363636,0.285714285714286,0.906976744186046,0.168421564785837,50,6
"soft_vote_equal","external_validation_ensemble","max_f2",0.12,0.98,0.410958904109589,0.201572198834402,0.515151515151515,0.14169874863013,-1.69768881845114,0.288521621330433,1,0.0227272727272727,0.122448979591837,1,0.12,50,6
"soft_vote_equal","external_validation_ensemble","target_sensitivity_0_30",0.5,0.1,0.172413793103448,0.201572198834402,0.515151515151515,0.14169874863013,-1.69768881845114,0.288521621330433,0.166666666666667,0.909090909090909,0.2,0.888888888888889,0.5,50,6
"soft_vote_equal","external_validation_ensemble","target_sensitivity_0_50",0.37,0.24,0.277777777777778,0.201572198834402,0.515151515151515,0.14169874863013,-1.69768881845114,0.288521621330433,0.333333333333333,0.772727272727273,0.166666666666667,0.894736842105263,0.37,50,6
"soft_vote_equal","external_validation_ensemble","top_10_pct",0.54918508899683,0.06,0.185185185185185,0.201572198834402,0.515151515151515,0.14169874863013,-1.69768881845114,0.288521621330433,0.166666666666667,0.954545454545455,0.333333333333333,0.893617021276596,0.54918508899683,50,6
"soft_vote_equal","external_validation_ensemble","top_20_pct",0.485218566185937,0.14,0.32258064516129,0.201572198834402,0.515151515151515,0.14169874863013,-1.69768881845114,0.288521621330433,0.333333333333333,0.886363636363636,0.285714285714286,0.906976744186046,0.485218566185937,50,6
"soft_vote_pr_weighted","external_validation_ensemble","max_f2",0.14,0.98,0.410958904109589,0.20209338432009,0.522727272727273,0.139304362323715,-1.68724092993851,0.302219769947699,1,0.0227272727272727,0.122448979591837,1,0.14,50,6
"soft_vote_pr_weighted","external_validation_ensemble","target_sensitivity_0_30",0.49,0.1,0.172413793103448,0.20209338432009,0.522727272727273,0.139304362323715,-1.68724092993851,0.302219769947699,0.166666666666667,0.909090909090909,0.2,0.888888888888889,0.49,50,6
"soft_vote_pr_weighted","external_validation_ensemble","target_sensitivity_0_50",0.37,0.22,0.285714285714286,0.20209338432009,0.522727272727273,0.139304362323715,-1.68724092993851,0.302219769947699,0.333333333333333,0.795454545454545,0.181818181818182,0.897435897435897,0.37,50,6
"soft_vote_pr_weighted","external_validation_ensemble","top_10_pct",0.516575671625336,0.08,0.178571428571429,0.20209338432009,0.522727272727273,0.139304362323715,-1.68724092993851,0.302219769947699,0.166666666666667,0.931818181818182,0.25,0.891304347826087,0.516575671625336,50,6
"soft_vote_pr_weighted","external_validation_ensemble","top_20_pct",0.456437870043048,0.14,0.32258064516129,0.20209338432009,0.522727272727273,0.139304362323715,-1.68724092993851,0.302219769947699,0.333333333333333,0.886363636363636,0.285714285714286,0.906976744186046,0.456437870043048,50,6
