"analysis_variable","variable_label","variable_type","n","events","missing_n","missing_pct","univariate_method","odds_ratio","ci_lower","ci_upper","p_value","selection_reason","retained_for_multivariable","source_variable","type"
"aneurysm_size_per_5mm","Primary aneurysm size (per 5-mm increase)","continuous",50,6,0,0,"Univariable logistic regression",2.88785173550648,1.10997669675101,7.51338984924525,0.0297143042738941,"Retained: univariate p < 0.20 and acceptable external data support",TRUE,"aneurysm_size_mm","continuous"
"ckd","Chronic kidney disease","binary",50,6,0,0,"Fisher exact test + univariable logistic regression",4.99999999999998,0.687350570602038,36.371541785588,0.145720452843487,"Retained: univariate p < 0.20 and acceptable external data support",TRUE,"ckd","binary"
"asa_class_iii_iv","ASA class III-IV","binary",50,6,0,0,"Fisher exact test + univariable logistic regression",21027053.271347,0,Inf,0.316761879589949,"Not retained: univariate p >= 0.20 or insufficient support",FALSE,"asa_class","binary"
"prior_stroke_tia","Prior stroke or TIA","binary",50,6,0,0,"Fisher exact test + univariable logistic regression",4.89989261453199e-08,0,Inf,0.327113972323434,"Not retained: univariate p >= 0.20 or insufficient support",FALSE,"prior_stroke_tia","binary"
"multiple_aneurysms","Multiple aneurysms (>1)","binary",50,6,0,0,"Fisher exact test + univariable logistic regression",2.66666666666658,0.471619732183304,15.0780610433552,0.347588211973041,"Not retained: univariate p >= 0.20 or insufficient support",FALSE,"aneurysm_multiple_indicato","binary"
"copd","COPD","binary",50,6,0,0,"Fisher exact test + univariable logistic regression",1.99999999700513,0.185026672579269,21.6185046850844,0.487432271706092,"Not retained: univariate p >= 0.20 or insufficient support",FALSE,"copd","binary"
"coronary_artery_disease","Coronary artery disease","binary",50,6,0,0,"Fisher exact test + univariable logistic regression",5.0440071032147e-08,0,Inf,0.575564197927089,"Not retained: univariate p >= 0.20 or insufficient support",FALSE,"cad","binary"
"male_sex","Male sex","binary",50,6,0,0,"Fisher exact test + univariable logistic regression",2.24999996179821,0.349480053754069,14.4858047654257,0.585916290660575,"Not retained: univariate p >= 0.20 or insufficient support",FALSE,"sex","binary"
"hypertension_any","Any hypertension","binary",50,6,0,0,"Fisher exact test + univariable logistic regression",2.33333333327655,0.248694710054895,21.8920798234014,0.654024051803885,"Not retained: univariate p >= 0.20 or insufficient support",FALSE,"hypertension","binary"
"age_per_10y","Age (per 10-year increase)","continuous",50,6,0,0,"Univariable logistic regression",1.0674819702726,0.428641411823119,2.65844065791596,0.888441912974454,"Not retained: univariate p >= 0.20 or insufficient support",FALSE,"age","continuous"
"diabetes_any","Any diabetes","binary",50,6,0,0,"Fisher exact test + univariable logistic regression",0.533333333333716,0.0563681421880136,5.04619157920977,1,"Not retained: univariate p >= 0.20 or insufficient support",FALSE,"diabetes","binary"
"irregular_morphology","Irregular aneurysm morphology","binary",50,6,0,0,"Fisher exact test + univariable logistic regression",0.533333333333716,0.0563681421880136,5.04619157920976,1,"Not retained: univariate p >= 0.20 or insufficient support",FALSE,"irregular_morphology","binary"
"location_posterior","Posterior circulation location","binary",50,6,0,0,"Fisher exact test + univariable logistic regression",5.47635056920232e-08,0,Inf,1,"Not retained: univariate p >= 0.20 or insufficient support",FALSE,"aneurysm_location","binary"
