"feature","mean_abs_shap","mean_signed_shap"
"wbc",0.0231966488748789,-0.00304633503258228
"platelets",0.017902887031436,-0.00611157096922398
"diabetes",0.0125123036682606,0.00569731595516205
"albumin",0.0114676401108503,-0.00292569474279881
"age",0.00909614554345608,0.00299502203166485
"bmi",0.00866361371874809,0.0016044996380806
"creatinine",0.00853864103555679,-0.000570660746097565
"elective_surgery",0.00839829021990299,-0.00839829021990299
"inr",0.00551678591668606,-0.0010389481395483
"bun",0.00509174628853798,-0.00256906803250313
"sex",0.00508711413145065,-0.00127326320409775
"ptt",0.00495871334373951,-0.00128981203138828
"race",0.00451020308732986,-0.00302793784141541
"ast",0.00389423249363899,0.000964530295133591
"sodium",0.00370608867704868,-0.00062619471848011
"dyspnea",0.00157022358179092,-0.000402510201931
"bilirubin",0.0010429347038269,-0.00041654047369957
"alk_phos",0.000680103918910027,-0.000156521520018578
"admission_source",0.000576854220032692,0.000576854220032692
"copd",0.000296974742412567,-5.11820435523987e-05
"functional_status",0,0
"smoking",0,0
"heart_failure",0,0
"dialysis",0,0
"active_malignancy",0,0
"coagulopathy",0,0
